id_solicitud,descripción_solicitud,fecha_solicitud,fecha_firma,id_cliente
SOL-1162,Consultoría para digitalización,2021-06-19,2021-07-06,4
SOL-1163,Capacitación técnica al personal,2024-06-27,2024-07-14,4
SOL-1164,Auditoría de procesos internos,2020-07-18,2020-07-22,2
SOL-1165,Mantenimiento de servidores antiguos,2023-12-19,2023-12-20,5
SOL-1166,Consultoría para digitalización,2024-06-06,2024-06-27,5
SOL-1167,Evaluación de satisfacción del cliente,2022-02-19,2022-03-09,5
SOL-1168,Auditoría de procesos internos,2022-03-23,2022-04-08,2
SOL-1169,Consultoría para digitalización,2023-02-09,2023-02-10,1
SOL-1170,Evaluación de satisfacción del cliente,2022-06-11,2022-07-09,2
SOL-1171,Mantenimiento de servidores antiguos,2023-08-04,2023-08-07,4
SOL-1172,Capacitación técnica al personal,2024-03-26,2024-04-12,3
SOL-1173,Implementación de redes locales,2023-11-14,2023-11-23,4
SOL-1174,Evaluación de satisfacción del cliente,2024-06-16,2024-06-24,5
SOL-1175,Instalación de cableado estructurado,2024-07-24,2024-08-14,4
SOL-1176,Mantenimiento de servidores antiguos,2023-03-21,2023-03-24,5
SOL-1177,Desarrollo de sistema a medida,2025-01-01,2025-01-08,2
SOL-1178,Desarrollo de sistema a medida,2024-12-24,2025-01-03,2
SOL-1179,Implementación de redes locales,2025-01-11,2025-02-06,2
SOL-1180,Desarrollo de sistema a medida,2024-08-06,2024-08-06,3
SOL-1181,Mantenimiento de servidores antiguos,2020-10-13,2020-11-01,3
SOL-1182,Mantenimiento de servidores antiguos,2024-07-22,2024-08-06,3
SOL-1183,Implementación de redes locales,2020-09-04,2020-09-11,1
SOL-1184,Mantenimiento de servidores antiguos,2023-05-12,2023-06-08,4
SOL-1185,Evaluación de satisfacción del cliente,2025-03-03,2025-03-20,3
SOL-1186,Capacitación técnica al personal,2022-07-06,2022-07-14,5
SOL-1187,Mantenimiento de servidores antiguos,2024-11-27,2024-12-10,1
SOL-1188,Consultoría para digitalización,2021-04-23,2021-05-20,1
SOL-1189,Implementación de redes locales,2022-05-25,2022-05-27,5
SOL-1190,Revisión de contrato marco,2025-02-13,2025-03-02,4
SOL-1191,Actualización de sistema contable,2022-09-12,2022-09-13,5
SOL-1192,Auditoría de procesos internos,2024-11-27,2024-12-17,1
SOL-1193,Desarrollo de sistema a medida,2021-02-07,2021-02-07,1
SOL-1194,Capacitación técnica al personal,2020-08-17,2020-08-22,4
SOL-1195,Evaluación de satisfacción del cliente,2022-11-09,2022-12-01,2
SOL-1196,Revisión de contrato marco,2022-12-16,2023-01-08,2
SOL-1197,Consultoría para digitalización,2023-03-22,2023-04-02,1
SOL-1198,Auditoría de procesos internos,2020-02-15,2020-03-15,5
SOL-1199,Revisión de contrato marco,2023-04-07,2023-04-13,4
SOL-1200,Evaluación de satisfacción del cliente,2021-04-16,2021-04-24,2
SOL-1201,Mantenimiento de servidores antiguos,2020-02-20,2020-02-25,1
SOL-1202,Capacitación técnica al personal,2021-11-19,2021-11-28,5
SOL-1203,Revisión de contrato marco,2024-03-24,2024-04-06,4
SOL-1204,Consultoría para digitalización,2022-06-23,2022-07-06,3
SOL-1205,Evaluación de satisfacción del cliente,2020-09-08,2020-09-29,5
SOL-1206,Implementación de redes locales,2023-05-21,2023-06-03,5
SOL-1207,Instalación de cableado estructurado,2021-05-13,2021-05-29,3
SOL-1208,Implementación de redes locales,2023-03-13,2023-03-29,5
SOL-1209,Instalación de cableado estructurado,2024-07-15,2024-07-15,2
SOL-1210,Capacitación técnica al personal,2024-10-16,2024-11-01,1
SOL-1211,Instalación de cableado estructurado,2024-12-24,2025-01-13,4
SOL-1212,Capacitación técnica al personal,2023-10-03,2023-11-01,1
SOL-1213,Capacitación técnica al personal,2024-05-12,2024-06-06,5
SOL-1214,Revisión de contrato marco,2023-10-07,2023-10-10,4
SOL-1215,Auditoría de procesos internos,2024-05-01,2024-05-04,4
SOL-1216,Mantenimiento de servidores antiguos,2020-07-13,2020-07-30,1
SOL-1217,Evaluación de satisfacción del cliente,2020-04-28,2020-05-04,1
SOL-1218,Revisión de contrato marco,2022-05-13,2022-05-19,3
SOL-1219,Desarrollo de sistema a medida,2020-03-29,2020-04-20,1
SOL-1220,Capacitación técnica al personal,2024-12-04,2024-12-17,1
SOL-1221,Evaluación de satisfacción del cliente,2021-10-23,2021-10-27,5
SOL-1222,Capacitación técnica al personal,2022-01-19,2022-02-17,4
SOL-1223,Revisión de contrato marco,2021-06-10,2021-06-20,3
SOL-1224,Auditoría de procesos internos,2022-05-06,2022-06-03,3
SOL-1225,Evaluación de satisfacción del cliente,2024-11-19,2024-12-01,3
SOL-1226,Auditoría de procesos internos,2022-07-16,2022-08-11,2
SOL-1227,Auditoría de procesos internos,2024-03-25,2024-04-06,4
SOL-1228,Consultoría para digitalización,2022-08-11,2022-08-19,1
SOL-1229,Capacitación técnica al personal,2024-05-11,2024-06-09,4
SOL-1230,Consultoría para digitalización,2020-07-29,2020-08-22,3
SOL-1231,Actualización de sistema contable,2024-12-31,2025-01-23,4
SOL-1232,Consultoría para digitalización,2023-08-13,2023-08-18,5
SOL-1233,Desarrollo de sistema a medida,2022-12-29,2023-01-24,1
SOL-1234,Consultoría para digitalización,2022-03-31,2022-04-26,4
SOL-1235,Actualización de sistema contable,2022-06-21,2022-06-21,2
SOL-1236,Actualización de sistema contable,2025-04-09,2025-04-23,2
SOL-1237,Mantenimiento de servidores antiguos,2023-03-27,2023-04-05,4
SOL-1238,Evaluación de satisfacción del cliente,2022-04-04,2022-04-27,1
SOL-1239,Actualización de sistema contable,2022-10-01,2022-10-07,4
SOL-1240,Implementación de redes locales,2021-10-27,2021-10-28,5
SOL-1241,Evaluación de satisfacción del cliente,2023-03-25,2023-04-21,2
SOL-1242,Auditoría de procesos internos,2021-11-22,2021-11-27,2
SOL-1243,Revisión de contrato marco,2020-09-23,2020-10-06,4
SOL-1244,Implementación de redes locales,2023-07-27,2023-08-14,4
SOL-1245,Consultoría para digitalización,2025-01-17,2025-01-25,3
SOL-1246,Evaluación de satisfacción del cliente,2022-12-09,2022-12-27,4
SOL-1247,Revisión de contrato marco,2021-11-06,2021-11-19,2
SOL-1248,Capacitación técnica al personal,2021-06-28,2021-07-03,1
SOL-1249,Mantenimiento de servidores antiguos,2021-08-14,2021-09-13,5
SOL-1250,Auditoría de procesos internos,2021-12-13,2021-12-15,5
SOL-1251,Desarrollo de sistema a medida,2020-09-26,2020-09-30,4
SOL-1252,Implementación de redes locales,2023-01-16,2023-01-16,2
SOL-1253,Consultoría para digitalización,2021-05-20,2021-05-23,4
SOL-1254,Instalación de cableado estructurado,2021-03-06,2021-03-25,4
SOL-1255,Capacitación técnica al personal,2022-05-03,2022-05-15,1
SOL-1256,Evaluación de satisfacción del cliente,2022-09-20,2022-10-20,3
SOL-1257,Auditoría de procesos internos,2024-04-28,2024-05-08,5
SOL-1258,Instalación de cableado estructurado,2020-12-12,2020-12-30,1
SOL-1259,Auditoría de procesos internos,2025-02-13,2025-02-16,1
SOL-1260,Actualización de sistema contable,2022-12-30,2022-12-31,2
SOL-1261,Capacitación técnica al personal,2021-08-02,2021-08-04,3
SOL-1262,Evaluación de satisfacción del cliente,2022-03-05,2022-03-10,4
SOL-1263,Instalación de cableado estructurado,2022-08-09,2022-09-04,5
SOL-1264,Desarrollo de sistema a medida,2022-05-26,2022-06-18,2
SOL-1265,Actualización de sistema contable,2024-04-12,2024-04-20,5
SOL-1266,Auditoría de procesos internos,2023-08-02,2023-08-07,4
SOL-1267,Implementación de redes locales,2021-03-31,2021-04-12,4
SOL-1268,Evaluación de satisfacción del cliente,2024-07-04,2024-07-21,1
SOL-1269,Instalación de cableado estructurado,2022-09-12,2022-09-21,2
SOL-1270,Evaluación de satisfacción del cliente,2020-08-01,2020-08-17,4
SOL-1271,Capacitación técnica al personal,2024-06-21,2024-07-02,3
SOL-1272,Desarrollo de sistema a medida,2021-02-12,2021-02-19,3
SOL-1273,Desarrollo de sistema a medida,2021-09-09,2021-09-23,3
SOL-1274,Desarrollo de sistema a medida,2022-08-10,2022-08-17,1
SOL-1275,Implementación de redes locales,2024-09-08,2024-09-18,4
SOL-1276,Instalación de cableado estructurado,2020-05-02,2020-05-05,3
SOL-1277,Consultoría para digitalización,2024-11-28,2024-12-19,1
SOL-1278,Revisión de contrato marco,2023-07-04,2023-07-28,2
SOL-1279,Desarrollo de sistema a medida,2024-10-21,2024-10-26,3
SOL-1280,Evaluación de satisfacción del cliente,2023-10-09,2023-11-04,3
SOL-1281,Evaluación de satisfacción del cliente,2021-05-11,2021-05-31,4
SOL-1282,Capacitación técnica al personal,2025-01-20,2025-01-25,1
SOL-1283,Evaluación de satisfacción del cliente,2022-02-16,2022-02-16,2
SOL-1284,Revisión de contrato marco,2022-02-12,2022-03-12,4
SOL-1285,Revisión de contrato marco,2023-08-11,2023-09-08,2
SOL-1286,Revisión de contrato marco,2025-01-25,2025-02-21,5
SOL-1287,Capacitación técnica al personal,2023-08-12,2023-08-29,3
SOL-1288,Evaluación de satisfacción del cliente,2023-05-09,2023-05-26,4
SOL-1289,Auditoría de procesos internos,2020-11-24,2020-12-20,3
SOL-1290,Mantenimiento de servidores antiguos,2022-06-26,2022-07-19,3
SOL-1291,Actualización de sistema contable,2025-01-10,2025-02-08,1
SOL-1292,Consultoría para digitalización,2023-03-05,2023-03-05,1
SOL-1293,Evaluación de satisfacción del cliente,2023-03-26,2023-04-16,5
SOL-1294,Revisión de contrato marco,2021-06-21,2021-07-11,3
SOL-1295,Desarrollo de sistema a medida,2020-06-14,2020-07-04,1
SOL-1296,Consultoría para digitalización,2022-08-08,2022-08-29,2
SOL-1297,Actualización de sistema contable,2020-10-13,2020-10-17,2
SOL-1298,Mantenimiento de servidores antiguos,2020-03-03,2020-03-24,5
SOL-1299,Desarrollo de sistema a medida,2020-06-24,2020-07-22,3
SOL-1300,Capacitación técnica al personal,2021-04-22,2021-05-09,1
SOL-1301,Evaluación de satisfacción del cliente,2024-02-17,2024-03-12,3
SOL-1302,Auditoría de procesos internos,2024-09-12,2024-09-29,3
SOL-1303,Instalación de cableado estructurado,2022-10-18,2022-10-22,1
SOL-1304,Consultoría para digitalización,2021-05-10,2021-06-05,3
SOL-1305,Actualización de sistema contable,2020-04-30,2020-05-14,2
SOL-1306,Implementación de redes locales,2021-09-11,2021-09-15,3
SOL-1307,Implementación de redes locales,2020-04-02,2020-04-07,1
SOL-1308,Revisión de contrato marco,2023-10-11,2023-10-29,2
SOL-1309,Actualización de sistema contable,2021-06-11,2021-06-27,1
SOL-1310,Desarrollo de sistema a medida,2022-11-08,2022-11-13,2
SOL-1311,Mantenimiento de servidores antiguos,2021-05-25,2021-06-23,4
SOL-1312,Mantenimiento de servidores antiguos,2021-11-24,2021-12-03,3
SOL-1313,Implementación de redes locales,2022-02-19,2022-03-18,3
SOL-1314,Capacitación técnica al personal,2023-09-02,2023-09-28,4
SOL-1315,Implementación de redes locales,2020-11-02,2020-11-19,1
SOL-1316,Evaluación de satisfacción del cliente,2023-05-03,2023-05-16,4
SOL-1317,Actualización de sistema contable,2023-10-28,2023-11-19,1
SOL-1318,Desarrollo de sistema a medida,2025-03-25,2025-03-30,4
SOL-1319,Actualización de sistema contable,2021-02-04,2021-02-26,4
SOL-1320,Evaluación de satisfacción del cliente,2020-07-11,2020-07-15,2
SOL-1321,Actualización de sistema contable,2020-11-04,2020-11-29,4
SOL-1322,Implementación de redes locales,2021-06-01,2021-06-10,2
SOL-1323,Actualización de sistema contable,2020-02-29,2020-03-21,1
SOL-1324,Auditoría de procesos internos,2020-09-12,2020-09-25,4
SOL-1325,Capacitación técnica al personal,2024-12-19,2025-01-13,4
SOL-1326,Mantenimiento de servidores antiguos,2020-03-02,2020-03-27,1
SOL-1327,Actualización de sistema contable,2022-03-16,2022-03-21,2
SOL-1328,Evaluación de satisfacción del cliente,2023-01-24,2023-02-16,3
SOL-1329,Desarrollo de sistema a medida,2021-05-04,2021-05-31,3
SOL-1330,Capacitación técnica al personal,2020-01-25,2020-02-02,5
SOL-1331,Consultoría para digitalización,2021-10-05,2021-10-20,1
SOL-1332,Consultoría para digitalización,2022-07-02,2022-07-07,1
SOL-1333,Implementación de redes locales,2022-12-25,2023-01-18,2
SOL-1334,Evaluación de satisfacción del cliente,2022-03-31,2022-04-19,2
SOL-1335,Implementación de redes locales,2022-09-19,2022-09-19,2
SOL-1336,Evaluación de satisfacción del cliente,2022-08-05,2022-08-29,4
SOL-1337,Actualización de sistema contable,2025-04-07,2025-04-19,5
SOL-1338,Mantenimiento de servidores antiguos,2020-03-07,2020-03-15,5
SOL-1339,Evaluación de satisfacción del cliente,2022-01-01,2022-01-02,5
SOL-1340,Consultoría para digitalización,2024-09-08,2024-10-06,5
SOL-1341,Auditoría de procesos internos,2021-12-01,2021-12-18,2
SOL-1342,Implementación de redes locales,2025-02-28,2025-03-26,3
SOL-1343,Capacitación técnica al personal,2024-02-09,2024-02-26,4
SOL-1344,Evaluación de satisfacción del cliente,2023-07-30,2023-08-10,1
SOL-1345,Evaluación de satisfacción del cliente,2024-12-28,2025-01-15,3
SOL-1346,Evaluación de satisfacción del cliente,2021-12-18,2022-01-12,3
SOL-1347,Instalación de cableado estructurado,2020-02-21,2020-02-24,3
SOL-1348,Mantenimiento de servidores antiguos,2020-09-08,2020-09-17,3
SOL-1349,Revisión de contrato marco,2022-12-13,2022-12-16,2
SOL-1350,Implementación de redes locales,2023-09-30,2023-10-28,5
SOL-1351,Auditoría de procesos internos,2020-07-25,2020-08-21,2
SOL-1352,Capacitación técnica al personal,2020-01-09,2020-01-18,3
SOL-1353,Mantenimiento de servidores antiguos,2020-01-31,2020-02-10,2
SOL-1354,Desarrollo de sistema a medida,2023-10-29,2023-11-22,3
SOL-1355,Evaluación de satisfacción del cliente,2023-07-13,2023-08-03,3
SOL-1356,Capacitación técnica al personal,2021-12-03,2021-12-20,2
SOL-1357,Consultoría para digitalización,2021-11-27,2021-12-16,4
SOL-1358,Mantenimiento de servidores antiguos,2021-03-18,2021-04-01,3
SOL-1359,Implementación de redes locales,2024-11-30,2024-12-05,1
SOL-1360,Revisión de contrato marco,2022-08-30,2022-09-10,2
SOL-1361,Capacitación técnica al personal,2023-07-21,2023-07-25,4
SOL-1362,Instalación de cableado estructurado,2023-06-28,2023-07-26,3
SOL-1363,Capacitación técnica al personal,2023-02-06,2023-03-06,1
SOL-1364,Desarrollo de sistema a medida,2021-01-30,2021-02-03,5
SOL-1365,Consultoría para digitalización,2025-01-18,2025-01-29,4
SOL-1366,Desarrollo de sistema a medida,2021-12-16,2021-12-18,4
SOL-1367,Instalación de cableado estructurado,2023-06-25,2023-07-14,4
SOL-1368,Instalación de cableado estructurado,2022-11-18,2022-12-10,3
SOL-1369,Evaluación de satisfacción del cliente,2024-12-24,2025-01-23,2
SOL-1370,Mantenimiento de servidores antiguos,2023-07-05,2023-08-02,2
SOL-1371,Desarrollo de sistema a medida,2024-01-26,2024-02-17,5
SOL-1372,Capacitación técnica al personal,2023-04-29,2023-05-06,3
SOL-1373,Mantenimiento de servidores antiguos,2024-04-29,2024-05-09,4
SOL-1374,Auditoría de procesos internos,2020-12-11,2021-01-07,3
SOL-1375,Mantenimiento de servidores antiguos,2024-03-03,2024-03-21,3
SOL-1376,Mantenimiento de servidores antiguos,2021-06-01,2021-06-23,2
SOL-1377,Auditoría de procesos internos,2023-02-05,2023-02-25,5
SOL-1378,Actualización de sistema contable,2024-06-05,2024-06-09,2
SOL-1379,Revisión de contrato marco,2024-05-31,2024-06-30,2
SOL-1380,Implementación de redes locales,2020-03-27,2020-04-22,1
SOL-1381,Implementación de redes locales,2023-06-20,2023-07-12,5
SOL-1382,Revisión de contrato marco,2020-09-09,2020-09-12,4
SOL-1383,Evaluación de satisfacción del cliente,2024-07-08,2024-07-17,1
SOL-1384,Actualización de sistema contable,2022-06-26,2022-07-19,1
SOL-1385,Desarrollo de sistema a medida,2024-07-07,2024-07-19,4
SOL-1386,Auditoría de procesos internos,2024-09-18,2024-10-16,1
SOL-1387,Auditoría de procesos internos,2024-11-06,2024-11-18,1
SOL-1388,Instalación de cableado estructurado,2020-12-01,2020-12-20,3
SOL-1389,Desarrollo de sistema a medida,2022-09-11,2022-09-24,1
