cod_contrato,nombre_contrato,monto,contenido,condiciones_contrato,id_contrato,fecha_contrato,id_version,id_solicitud
38,Contrato de Mantenimiento,88742.83,Se definen las obligaciones relativas a contrato de mantenimiento y su cronograma.,Garantía de 12 meses para el servicio prestado. Rescisión con preaviso de 60 días.,38,2023-03-26,19,SOL-4543
39,Contrato de Arrendamiento,61967.31,Se describen las responsabilidades mutuas en torno a contrato de arrendamiento.,Pago dentro de 30 días tras la recepción de la factura. Rescisión con preaviso de 60 días.,39,2022-02-04,10,SOL-6722
40,Contrato de Soporte,21742.97,Se definen las obligaciones relativas a contrato de soporte y su cronograma.,Confidencialidad y no divulgación de información. Penalización del 5% por retrasos en la entrega.,40,2023-07-24,23,SOL-4991
41,Contrato de Compra-Venta,29341.72,El objetivo principal es regular contrato de compra-venta bajo las condiciones acordadas.,Confidencialidad y no divulgación de información. Pago dentro de 30 días tras la recepción de la factura.,41,2023-06-23,2,SOL-8918
42,Contrato de Consultoría,85824.55,Se definen las obligaciones relativas a contrato de consultoría y su cronograma.,Revisión trimestral de cumplimiento de KPI. Penalización del 5% por retrasos en la entrega.,42,2022-05-10,46,SOL-5915
43,Contrato de Desarrollo,16451.93,Este contrato establece los términos para contrato de desarrollo.,Pago dentro de 30 días tras la recepción de la factura. Penalización del 5% por retrasos en la entrega.,43,2022-04-10,4,SOL-4232
44,Contrato de Suministro,53583.05,El objetivo principal es regular contrato de suministro bajo las condiciones acordadas.,Penalización del 5% por retrasos en la entrega. Garantía de 12 meses para el servicio prestado.,44,2024-08-08,1,SOL-6634
45,Contrato de Compra-Venta,65211.44,Las partes acuerdan ejecutar contrato de compra-venta según lo pactado.,Actualización de precios anual previa negociación. Confidencialidad y no divulgación de información.,45,2023-11-24,17,SOL-5807
46,Convenio de Licencia,56350.19,Las partes acuerdan ejecutar convenio de licencia según lo pactado.,Confidencialidad y no divulgación de información. Penalización del 5% por retrasos en la entrega.,46,2024-07-02,25,SOL-2071
47,Contrato de Arrendamiento,90406.74,El objetivo principal es regular contrato de arrendamiento bajo las condiciones acordadas.,Actualización de precios anual previa negociación. Penalización del 5% por retrasos en la entrega.,47,2024-02-18,45,SOL-5934
48,Contrato de Suministro,22516.07,Las partes acuerdan ejecutar contrato de suministro según lo pactado.,Pago dentro de 30 días tras la recepción de la factura. Rescisión con preaviso de 60 días.,48,2021-10-31,11,SOL-8567
49,Contrato de Desarrollo,87164.57,El objetivo principal es regular contrato de desarrollo bajo las condiciones acordadas.,Rescisión con preaviso de 60 días. Garantía de 12 meses para el servicio prestado.,49,2024-01-24,48,SOL-4683
50,Contrato de Consultoría,65244.7,Se definen las obligaciones relativas a contrato de consultoría y su cronograma.,Penalización del 5% por retrasos en la entrega. Pago dentro de 30 días tras la recepción de la factura.,50,2020-02-16,1,SOL-8930
51,Contrato de Distribución,24991.93,Se describen las responsabilidades mutuas en torno a contrato de distribución.,Pago dentro de 30 días tras la recepción de la factura. Penalización del 5% por retrasos en la entrega.,51,2024-07-23,24,SOL-8145
52,Convenio de Licencia,77476.52,Se definen las obligaciones relativas a convenio de licencia y su cronograma.,Confidencialidad y no divulgación de información. Actualización de precios anual previa negociación.,52,2022-08-21,14,SOL-8026
53,Contrato de Consultoría,85743.11,Las partes acuerdan ejecutar contrato de consultoría según lo pactado.,Garantía de 12 meses para el servicio prestado. Confidencialidad y no divulgación de información.,53,2023-05-06,35,SOL-2287
54,Convenio de Licencia,46683.7,Se definen las obligaciones relativas a convenio de licencia y su cronograma.,Pago dentro de 30 días tras la recepción de la factura. Garantía de 12 meses para el servicio prestado.,54,2023-10-13,48,SOL-6410
55,Contrato de Consultoría,63064.94,Se describen las responsabilidades mutuas en torno a contrato de consultoría.,Confidencialidad y no divulgación de información. Penalización del 5% por retrasos en la entrega.,55,2022-02-18,46,SOL-9057
56,Contrato de Mantenimiento,11005.94,Se definen las obligaciones relativas a contrato de mantenimiento y su cronograma.,Rescisión con preaviso de 60 días. Garantía de 12 meses para el servicio prestado.,56,2024-12-08,41,SOL-5043
57,Contrato de Distribución,29352.64,Este contrato establece los términos para contrato de distribución.,Confidencialidad y no divulgación de información. Pago dentro de 30 días tras la recepción de la factura.,57,2023-05-07,20,SOL-1468
58,Contrato de Mantenimiento,19716.78,El objetivo principal es regular contrato de mantenimiento bajo las condiciones acordadas.,Revisión trimestral de cumplimiento de KPI. Garantía de 12 meses para el servicio prestado.,58,2021-02-26,29,SOL-8018
59,Contrato de Desarrollo,90389.38,El objetivo principal es regular contrato de desarrollo bajo las condiciones acordadas.,Pago dentro de 30 días tras la recepción de la factura. Actualización de precios anual previa negociación.,59,2023-10-14,45,SOL-5766
60,Contrato de Soporte,14507.39,Este contrato establece los términos para contrato de soporte.,Confidencialidad y no divulgación de información. Garantía de 12 meses para el servicio prestado.,60,2024-01-08,4,SOL-7152
61,Contrato de Suministro,89533.29,Se describen las responsabilidades mutuas en torno a contrato de suministro.,Garantía de 12 meses para el servicio prestado. Pago dentro de 30 días tras la recepción de la factura.,61,2021-07-05,27,SOL-2606
62,Contrato de Suministro,94072.11,Las partes acuerdan ejecutar contrato de suministro según lo pactado.,Confidencialidad y no divulgación de información. Garantía de 12 meses para el servicio prestado.,62,2024-11-18,17,SOL-2894
63,Acuerdo de Servicio,29016.68,Se describen las responsabilidades mutuas en torno a acuerdo de servicio.,Garantía de 12 meses para el servicio prestado. Rescisión con preaviso de 60 días.,63,2023-05-25,5,SOL-9068
64,Acuerdo de Servicio,80597.43,El objetivo principal es regular acuerdo de servicio bajo las condiciones acordadas.,Actualización de precios anual previa negociación. Pago dentro de 30 días tras la recepción de la factura.,64,2023-01-05,15,SOL-3100
65,Contrato de Consultoría,86344.05,Se definen las obligaciones relativas a contrato de consultoría y su cronograma.,Confidencialidad y no divulgación de información. Rescisión con preaviso de 60 días.,65,2024-07-16,45,SOL-8121
66,Contrato de Desarrollo,16383.42,El objetivo principal es regular contrato de desarrollo bajo las condiciones acordadas.,Confidencialidad y no divulgación de información. Penalización del 5% por retrasos en la entrega.,66,2021-10-12,11,SOL-6809
67,Contrato de Compra-Venta,34534.5,El objetivo principal es regular contrato de compra-venta bajo las condiciones acordadas.,Garantía de 12 meses para el servicio prestado. Rescisión con preaviso de 60 días.,67,2020-02-17,38,SOL-3796
68,Contrato de Arrendamiento,5580.07,Este contrato establece los términos para contrato de arrendamiento.,Penalización del 5% por retrasos en la entrega. Rescisión con preaviso de 60 días.,68,2024-10-18,36,SOL-7979
69,Contrato de Mantenimiento,21395.35,Se describen las responsabilidades mutuas en torno a contrato de mantenimiento.,Actualización de precios anual previa negociación. Revisión trimestral de cumplimiento de KPI.,69,2022-01-12,12,SOL-5543
70,Contrato de Arrendamiento,51815.53,Se definen las obligaciones relativas a contrato de arrendamiento y su cronograma.,Rescisión con preaviso de 60 días. Penalización del 5% por retrasos en la entrega.,70,2022-08-16,31,SOL-1107
71,Contrato de Consultoría,80147.22,Las partes acuerdan ejecutar contrato de consultoría según lo pactado.,Revisión trimestral de cumplimiento de KPI. Pago dentro de 30 días tras la recepción de la factura.,71,2022-06-13,1,SOL-5054
72,Contrato de Distribución,89769.38,Las partes acuerdan ejecutar contrato de distribución según lo pactado.,Garantía de 12 meses para el servicio prestado. Rescisión con preaviso de 60 días.,72,2020-05-07,23,SOL-5955
73,Contrato de Distribución,79214.8,Este contrato establece los términos para contrato de distribución.,Actualización de precios anual previa negociación. Pago dentro de 30 días tras la recepción de la factura.,73,2020-08-19,43,SOL-8873
74,Contrato de Distribución,89768.92,El objetivo principal es regular contrato de distribución bajo las condiciones acordadas.,Actualización de precios anual previa negociación. Rescisión con preaviso de 60 días.,74,2023-02-09,9,SOL-2408
75,Convenio de Licencia,88923.83,El objetivo principal es regular convenio de licencia bajo las condiciones acordadas.,Pago dentro de 30 días tras la recepción de la factura. Rescisión con preaviso de 60 días.,75,2022-11-14,5,SOL-4661
76,Contrato de Mantenimiento,67923.09,Este contrato establece los términos para contrato de mantenimiento.,Garantía de 12 meses para el servicio prestado. Penalización del 5% por retrasos en la entrega.,76,2021-11-06,41,SOL-8276
77,Acuerdo de Servicio,48502.4,Este contrato establece los términos para acuerdo de servicio.,Garantía de 12 meses para el servicio prestado. Revisión trimestral de cumplimiento de KPI.,77,2025-01-03,44,SOL-8433
78,Contrato de Arrendamiento,61677.3,Se describen las responsabilidades mutuas en torno a contrato de arrendamiento.,Pago dentro de 30 días tras la recepción de la factura. Revisión trimestral de cumplimiento de KPI.,78,2024-04-13,32,SOL-4084
79,Contrato de Arrendamiento,69227.88,Se definen las obligaciones relativas a contrato de arrendamiento y su cronograma.,Pago dentro de 30 días tras la recepción de la factura. Confidencialidad y no divulgación de información.,79,2024-10-31,41,SOL-3960
80,Contrato de Desarrollo,70228.87,Las partes acuerdan ejecutar contrato de desarrollo según lo pactado.,Confidencialidad y no divulgación de información. Garantía de 12 meses para el servicio prestado.,80,2024-02-01,5,SOL-3317
81,Contrato de Desarrollo,8969.93,Este contrato establece los términos para contrato de desarrollo.,Pago dentro de 30 días tras la recepción de la factura. Revisión trimestral de cumplimiento de KPI.,81,2020-05-24,25,SOL-8570
82,Contrato de Compra-Venta,14351.16,Se describen las responsabilidades mutuas en torno a contrato de compra-venta.,Actualización de precios anual previa negociación. Penalización del 5% por retrasos en la entrega.,82,2022-12-10,23,SOL-5244
83,Contrato de Soporte,22838.13,El objetivo principal es regular contrato de soporte bajo las condiciones acordadas.,Actualización de precios anual previa negociación. Pago dentro de 30 días tras la recepción de la factura.,83,2024-10-25,46,SOL-4411
84,Contrato de Mantenimiento,52171.65,Se describen las responsabilidades mutuas en torno a contrato de mantenimiento.,Revisión trimestral de cumplimiento de KPI. Rescisión con preaviso de 60 días.,84,2023-12-15,12,SOL-9143
85,Contrato de Desarrollo,25044.1,El objetivo principal es regular contrato de desarrollo bajo las condiciones acordadas.,Pago dentro de 30 días tras la recepción de la factura. Garantía de 12 meses para el servicio prestado.,85,2021-07-15,32,SOL-9281
86,Contrato de Suministro,87678.59,Las partes acuerdan ejecutar contrato de suministro según lo pactado.,Garantía de 12 meses para el servicio prestado. Revisión trimestral de cumplimiento de KPI.,86,2021-07-26,23,SOL-6162
87,Contrato de Distribución,90336.26,Se describen las responsabilidades mutuas en torno a contrato de distribución.,Actualización de precios anual previa negociación. Pago dentro de 30 días tras la recepción de la factura.,87,2022-06-30,1,SOL-9398
88,Convenio de Licencia,4175.87,Se describen las responsabilidades mutuas en torno a convenio de licencia.,Pago dentro de 30 días tras la recepción de la factura. Rescisión con preaviso de 60 días.,88,2023-03-13,14,SOL-6836
89,Contrato de Compra-Venta,84474.46,Este contrato establece los términos para contrato de compra-venta.,Garantía de 12 meses para el servicio prestado. Revisión trimestral de cumplimiento de KPI.,89,2024-11-07,22,SOL-7410
90,Contrato de Distribución,1374.37,El objetivo principal es regular contrato de distribución bajo las condiciones acordadas.,Actualización de precios anual previa negociación. Pago dentro de 30 días tras la recepción de la factura.,90,2023-06-03,36,SOL-9564
91,Contrato de Consultoría,79040.09,Las partes acuerdan ejecutar contrato de consultoría según lo pactado.,Confidencialidad y no divulgación de información. Pago dentro de 30 días tras la recepción de la factura.,91,2024-11-18,44,SOL-6066
92,Contrato de Soporte,51962.68,Se describen las responsabilidades mutuas en torno a contrato de soporte.,Rescisión con preaviso de 60 días. Pago dentro de 30 días tras la recepción de la factura.,92,2021-08-27,46,SOL-4873
93,Contrato de Desarrollo,68247.69,El objetivo principal es regular contrato de desarrollo bajo las condiciones acordadas.,Pago dentro de 30 días tras la recepción de la factura. Actualización de precios anual previa negociación.,93,2020-12-10,29,SOL-6369
94,Convenio de Licencia,39958.81,El objetivo principal es regular convenio de licencia bajo las condiciones acordadas.,Revisión trimestral de cumplimiento de KPI. Confidencialidad y no divulgación de información.,94,2022-01-19,46,SOL-8863
95,Contrato de Suministro,42137.69,El objetivo principal es regular contrato de suministro bajo las condiciones acordadas.,Penalización del 5% por retrasos en la entrega. Garantía de 12 meses para el servicio prestado.,95,2024-11-16,8,SOL-4361
96,Acuerdo de Servicio,76802.18,Las partes acuerdan ejecutar acuerdo de servicio según lo pactado.,Garantía de 12 meses para el servicio prestado. Actualización de precios anual previa negociación.,96,2023-03-05,39,SOL-8595
97,Contrato de Desarrollo,70417.83,Este contrato establece los términos para contrato de desarrollo.,Rescisión con preaviso de 60 días. Pago dentro de 30 días tras la recepción de la factura.,97,2022-10-09,31,SOL-7470
98,Convenio de Licencia,83700.54,Se definen las obligaciones relativas a convenio de licencia y su cronograma.,Pago dentro de 30 días tras la recepción de la factura. Garantía de 12 meses para el servicio prestado.,98,2025-01-02,49,SOL-4308
99,Contrato de Mantenimiento,51338.08,El objetivo principal es regular contrato de mantenimiento bajo las condiciones acordadas.,Revisión trimestral de cumplimiento de KPI. Garantía de 12 meses para el servicio prestado.,99,2022-07-25,15,SOL-3482
100,Acuerdo de Servicio,29311.97,Se definen las obligaciones relativas a acuerdo de servicio y su cronograma.,Garantía de 12 meses para el servicio prestado. Penalización del 5% por retrasos en la entrega.,100,2024-10-13,48,SOL-6562
101,Contrato de Consultoría,93193.21,Se describen las responsabilidades mutuas en torno a contrato de consultoría.,Garantía de 12 meses para el servicio prestado. Rescisión con preaviso de 60 días.,101,2025-04-12,16,SOL-8163
102,Contrato de Desarrollo,30346.37,Este contrato establece los términos para contrato de desarrollo.,Confidencialidad y no divulgación de información. Garantía de 12 meses para el servicio prestado.,102,2025-02-21,50,SOL-6151
103,Contrato de Arrendamiento,61570.23,Este contrato establece los términos para contrato de arrendamiento.,Revisión trimestral de cumplimiento de KPI. Garantía de 12 meses para el servicio prestado.,103,2024-01-17,46,SOL-1086
104,Acuerdo de Servicio,12395.53,Las partes acuerdan ejecutar acuerdo de servicio según lo pactado.,Confidencialidad y no divulgación de información. Penalización del 5% por retrasos en la entrega.,104,2024-01-13,25,SOL-7039
105,Convenio de Licencia,58915.06,Las partes acuerdan ejecutar convenio de licencia según lo pactado.,Actualización de precios anual previa negociación. Pago dentro de 30 días tras la recepción de la factura.,105,2020-03-10,21,SOL-3149
106,Contrato de Arrendamiento,63272.36,Las partes acuerdan ejecutar contrato de arrendamiento según lo pactado.,Penalización del 5% por retrasos en la entrega. Pago dentro de 30 días tras la recepción de la factura.,106,2023-07-18,1,SOL-6488
107,Convenio de Licencia,43214.83,Este contrato establece los términos para convenio de licencia.,Pago dentro de 30 días tras la recepción de la factura. Garantía de 12 meses para el servicio prestado.,107,2025-04-09,48,SOL-3214
108,Contrato de Consultoría,36794.27,Las partes acuerdan ejecutar contrato de consultoría según lo pactado.,Revisión trimestral de cumplimiento de KPI. Confidencialidad y no divulgación de información.,108,2022-02-20,42,SOL-7504
109,Convenio de Licencia,92996.53,Se describen las responsabilidades mutuas en torno a convenio de licencia.,Rescisión con preaviso de 60 días. Confidencialidad y no divulgación de información.,109,2020-09-20,2,SOL-8283
110,Contrato de Mantenimiento,99878.49,Se definen las obligaciones relativas a contrato de mantenimiento y su cronograma.,Pago dentro de 30 días tras la recepción de la factura. Garantía de 12 meses para el servicio prestado.,110,2020-03-31,20,SOL-9088
111,Convenio de Licencia,50957.02,Este contrato establece los términos para convenio de licencia.,Penalización del 5% por retrasos en la entrega. Actualización de precios anual previa negociación.,111,2021-02-17,49,SOL-7203
112,Contrato de Soporte,13873.55,El objetivo principal es regular contrato de soporte bajo las condiciones acordadas.,Garantía de 12 meses para el servicio prestado. Rescisión con preaviso de 60 días.,112,2024-07-15,46,SOL-6253
113,Contrato de Suministro,52186.89,Se definen las obligaciones relativas a contrato de suministro y su cronograma.,Rescisión con preaviso de 60 días. Actualización de precios anual previa negociación.,113,2020-12-07,25,SOL-8878
114,Contrato de Arrendamiento,6758.04,Las partes acuerdan ejecutar contrato de arrendamiento según lo pactado.,Revisión trimestral de cumplimiento de KPI. Rescisión con preaviso de 60 días.,114,2025-04-02,9,SOL-5292
115,Contrato de Consultoría,94092.81,Se definen las obligaciones relativas a contrato de consultoría y su cronograma.,Garantía de 12 meses para el servicio prestado. Rescisión con preaviso de 60 días.,115,2022-07-18,34,SOL-7670
116,Contrato de Arrendamiento,40813.63,El objetivo principal es regular contrato de arrendamiento bajo las condiciones acordadas.,Garantía de 12 meses para el servicio prestado. Rescisión con preaviso de 60 días.,116,2023-06-07,22,SOL-5992
117,Contrato de Compra-Venta,29941.7,Se definen las obligaciones relativas a contrato de compra-venta y su cronograma.,Confidencialidad y no divulgación de información. Penalización del 5% por retrasos en la entrega.,117,2023-02-19,36,SOL-7532
118,Contrato de Mantenimiento,57116.86,Se definen las obligaciones relativas a contrato de mantenimiento y su cronograma.,Rescisión con preaviso de 60 días. Actualización de precios anual previa negociación.,118,2023-10-17,8,SOL-9868
119,Contrato de Suministro,46255.45,Se describen las responsabilidades mutuas en torno a contrato de suministro.,Pago dentro de 30 días tras la recepción de la factura. Revisión trimestral de cumplimiento de KPI.,119,2022-08-10,13,SOL-1604
120,Contrato de Compra-Venta,3431.44,Este contrato establece los términos para contrato de compra-venta.,Pago dentro de 30 días tras la recepción de la factura. Garantía de 12 meses para el servicio prestado.,120,2021-04-03,38,SOL-3479
121,Contrato de Arrendamiento,84227.87,Se definen las obligaciones relativas a contrato de arrendamiento y su cronograma.,Garantía de 12 meses para el servicio prestado. Rescisión con preaviso de 60 días.,121,2021-11-12,37,SOL-8684
122,Contrato de Consultoría,63774.69,Este contrato establece los términos para contrato de consultoría.,Rescisión con preaviso de 60 días. Confidencialidad y no divulgación de información.,122,2024-07-02,45,SOL-8568
123,Contrato de Compra-Venta,73626.69,Este contrato establece los términos para contrato de compra-venta.,Penalización del 5% por retrasos en la entrega. Rescisión con preaviso de 60 días.,123,2020-03-02,48,SOL-3787
124,Contrato de Suministro,91693.86,Las partes acuerdan ejecutar contrato de suministro según lo pactado.,Rescisión con preaviso de 60 días. Revisión trimestral de cumplimiento de KPI.,124,2023-04-06,43,SOL-3754
125,Acuerdo de Servicio,64136.1,Este contrato establece los términos para acuerdo de servicio.,Pago dentro de 30 días tras la recepción de la factura. Confidencialidad y no divulgación de información.,125,2022-06-09,40,SOL-4933
126,Contrato de Arrendamiento,17838.28,Se definen las obligaciones relativas a contrato de arrendamiento y su cronograma.,Revisión trimestral de cumplimiento de KPI. Rescisión con preaviso de 60 días.,126,2022-04-30,35,SOL-1733
127,Contrato de Consultoría,81491.99,Se definen las obligaciones relativas a contrato de consultoría y su cronograma.,Garantía de 12 meses para el servicio prestado. Pago dentro de 30 días tras la recepción de la factura.,127,2024-10-21,3,SOL-9402
128,Contrato de Soporte,64935.7,Se definen las obligaciones relativas a contrato de soporte y su cronograma.,Rescisión con preaviso de 60 días. Confidencialidad y no divulgación de información.,128,2022-01-18,37,SOL-9608
129,Contrato de Mantenimiento,96498.98,Se describen las responsabilidades mutuas en torno a contrato de mantenimiento.,Garantía de 12 meses para el servicio prestado. Penalización del 5% por retrasos en la entrega.,129,2020-07-26,4,SOL-3129
130,Contrato de Compra-Venta,57172.75,Este contrato establece los términos para contrato de compra-venta.,Pago dentro de 30 días tras la recepción de la factura. Garantía de 12 meses para el servicio prestado.,130,2020-08-28,44,SOL-3440
131,Contrato de Mantenimiento,90441.73,Se describen las responsabilidades mutuas en torno a contrato de mantenimiento.,Revisión trimestral de cumplimiento de KPI. Rescisión con preaviso de 60 días.,131,2020-09-15,35,SOL-7698
132,Contrato de Desarrollo,38887.71,Las partes acuerdan ejecutar contrato de desarrollo según lo pactado.,Rescisión con preaviso de 60 días. Confidencialidad y no divulgación de información.,132,2020-10-08,35,SOL-7860
133,Acuerdo de Servicio,60127.48,Este contrato establece los términos para acuerdo de servicio.,Rescisión con preaviso de 60 días. Penalización del 5% por retrasos en la entrega.,133,2023-10-27,50,SOL-4866
134,Contrato de Soporte,17230.08,Se describen las responsabilidades mutuas en torno a contrato de soporte.,Rescisión con preaviso de 60 días. Confidencialidad y no divulgación de información.,134,2022-10-09,42,SOL-3796
135,Contrato de Mantenimiento,56665.6,Se describen las responsabilidades mutuas en torno a contrato de mantenimiento.,Rescisión con preaviso de 60 días. Garantía de 12 meses para el servicio prestado.,135,2021-10-22,42,SOL-3352
